Customer_ID,Age,Gender,Region,Customer_Segment,Total_Purchases,Satisfaction_Score,Join_Date,Last_Purchase
CUST_00001,25,Female,North,Premium,12.35,7.3,2023-06-26,2024-05-14
CUST_00002,46,Female,West,Standard,5.79,8.5,2023-04-12,2024-01-04
CUST_00003,19,Male,South,Premium,8.03,8.5,2023-11-19,2023-04-23
CUST_00004,35,Male,West,Standard,3.72,8.5,2023-06-14,2024-05-27
CUST_00005,36,Female,South,Standard,11.14,3.3,2023-06-03,2023-02-03
CUST_00006,27,Female,North,Budget,1.3,7.1,2024-07-04,2024-11-07
CUST_00007,27,Female,East,Standard,2.1,4.4,2023-02-19,2024-06-15
CUST_00008,57,Male,North,Standard,2.86,6.0,2023-05-08,2024-11-27
CUST_00009,25,Male,West,Premium,5.28,6.3,2023-03-20,2023-01-19
CUST_00010,30,Male,South,Standard,9.17,5.2,2023-08-18,2023-08-15
CUST_00011,40,Male,South,Standard,3.48,7.7,2023-06-08,2023-05-16
CUST_00012,29,Female,East,Premium,5.98,8.6,2023-06-17,2023-07-30
CUST_00013,41,Male,West,Standard,3.39,6.3,2024-03-26,2023-04-25
CUST_00014,57,Male,South,Standard,2.36,6.4,2024-10-16,2023-03-31
CUST_00015,40,Male,South,Premium,13.32,10.0,2024-09-24,2023-09-02
CUST_00016,18,Male,South,Standard,8.36,6.0,2023-08-28,2023-09-29
CUST_00017,41,Male,East,Standard,2.18,3.6,2024-07-01,2024-12-25
CUST_00018,18,Male,North,Standard,4.91,4.5,2024-08-30,2023-02-20
CUST_00019,21,Female,North,Standard,2.33,5.9,2024-11-08,2024-12-02
CUST_00020,52,Female,North,Standard,4.61,6.0,2023-07-26,2024-05-05
CUST_00021,19,Female,North,Premium,28.73,7.8,2023-05-28,2024-07-19
CUST_00022,43,Female,North,Premium,17.83,7.1,2024-04-26,2024-02-20
CUST_00023,30,Male,North,Standard,23.16,6.6,2023-08-15,2024-08-16
CUST_00024,52,Male,North,Standard,6.91,6.5,2024-06-27,2023-08-14
CUST_00025,49,Female,East,Standard,3.41,8.3,2024-06-25,2024-06-07
CUST_00026,35,Female,East,Premium,6.96,6.3,2024-03-10,2023-08-30
CUST_00027,18,Male,East,Standard,2.71,7.1,2023-01-02,2023-08-17
CUST_00028,64,Male,South,Standard,5.32,5.6,2024-01-21,2024-02-16
CUST_00029,56,Male,East,Standard,17.85,5.8,2024-12-21,2024-01-27
CUST_00030,38,Male,North,Standard,2.4,6.2,2023-02-09,2023-04-13
CUST_00031,37,Female,East,Standard,10.26,5.7,2023-07-25,2023-12-07
CUST_00032,24,Male,West,Standard,4.35,6.7,2023-06-27,2024-11-06
CUST_00033,54,Male,North,Standard,5.49,7.9,2023-09-23,2024-03-10
CUST_00034,29,Female,South,Premium,11.57,6.6,2023-02-10,2023-09-14
CUST_00035,33,Male,East,Standard,2.31,8.7,2023-10-02,2023-03-11
CUST_00036,42,Female,East,Premium,18.77,10.0,2024-03-04,2023-02-05
CUST_00037,53,Male,North,Standard,6.0,6.7,2023-11-17,2023-03-14
CUST_00038,31,Male,North,Premium,5.68,7.4,2024-06-15,2024-12-15
CUST_00039,18,Male,South,Budget,5.48,6.5,2023-12-02,2024-11-23
CUST_00040,48,Female,North,Budget,6.72,4.2,2024-08-09,2023-05-13
CUST_00041,59,Male,West,Standard,2.69,7.4,2024-02-11,2024-01-20
CUST_00042,50,Male,South,Budget,1.26,5.8,2024-05-09,2023-03-23
CUST_00043,26,Female,East,Standard,4.2,9.9,2023-02-10,2024-03-20
CUST_00044,56,Male,North,Premium,6.3,10.0,2024-07-28,2024-08-01
CUST_00045,46,Female,East,Budget,1.98,6.2,2024-06-29,2023-02-15
CUST_00046,30,Male,North,Premium,8.11,7.4,2023-05-12,2024-01-24
CUST_00047,51,Female,South,Standard,7.85,7.1,2024-05-25,2024-06-02
CUST_00048,47,Male,West,Premium,15.75,5.0,2023-05-06,2023-02-20
CUST_00049,32,Male,East,Budget,2.36,7.8,2024-04-24,2023-11-02
CUST_00050,34,Male,South,Standard,4.47,5.6,2023-04-28,2023-03-02
CUST_00051,26,Female,East,Premium,7.42,8.2,2024-09-08,2024-08-13
CUST_00052,42,Female,West,Standard,2.14,5.8,2023-06-01,2024-12-08
CUST_00053,47,Female,South,Standard,7.63,5.4,2024-04-28,2023-10-20
CUST_00054,44,Male,North,Standard,2.93,7.1,2023-10-23,2024-03-10
CUST_00055,48,Female,West,Standard,2.02,4.3,2024-01-30,2023-10-04
CUST_00056,27,Male,North,Standard,14.27,6.3,2024-08-14,2023-05-11
CUST_00057,21,Female,West,Budget,1.13,5.3,2024-05-08,2023-04-13
CUST_00058,51,Male,West,Premium,39.86,5.9,2024-11-19,2023-03-30
CUST_00059,57,Male,West,Premium,10.45,8.5,2024-03-01,2023-04-30
CUST_00060,57,Female,East,Standard,3.3,8.3,2023-12-22,2024-07-26
CUST_00061,49,Female,North,Budget,2.14,6.0,2023-11-07,2023-11-20
CUST_00062,22,Female,East,Budget,1.02,2.1,2023-06-16,2024-05-08
CUST_00063,24,Female,South,Standard,3.27,7.0,2023-07-23,2023-05-22
CUST_00064,28,Male,West,Standard,2.62,7.0,2023-02-09,2023-12-19
