Date,Sales,Region,Product_Category,Customer_Segment,Sales_Rep,Channel
2023-01-01,1790.8452049194748,East,Home & Garden,Budget,Rep_10,Online
2023-01-01,826.5439407320653,North,Home & Garden,Standard,Rep_13,Retail
2023-01-01,976.8246572288044,East,Sports,Standard,Rep_14,Online
2023-01-01,1074.5071229516848,East,Electronics,Standard,Rep_11,Online
2023-01-01,1343.133903689606,East,Electronics,Standard,Rep_02,Online
2023-01-01,895.4226024597374,West,Home & Garden,Premium,Rep_04,Retail
2023-01-01,1535.010175645264,East,Electronics,Standard,Rep_13,Online
2023-01-01,826.5439407320653,East,Electronics,Premium,Rep_17,Online
2023-01-01,895.4226024597374,South,Electronics,Budget,Rep_05,Online
2023-01-01,1535.010175645264,North,Home & Garden,Standard,Rep_12,Retail
2023-01-02,1969.396668547625,West,Clothing,Premium,Rep_16,Partner
2023-01-02,820.5819452281771,East,Sports,Standard,Rep_16,Retail
2023-01-02,757.4602571337019,West,Home & Garden,Standard,Rep_09,Partner
2023-01-02,703.3559530527233,East,Books,Standard,Rep_07,Online
2023-01-02,1094.1092603042362,East,Electronics,Premium,Rep_18,Retail
2023-01-03,1007.2979176430974,South,Clothing,Standard,Rep_14,Retail
2023-01-03,1582.8967277248673,East,Clothing,Budget,Rep_11,Online
2023-01-03,1007.2979176430974,South,Home & Garden,Budget,Rep_04,Retail
2023-01-03,852.3290072364671,East,Clothing,Standard,Rep_12,Online
2023-01-03,1007.2979176430974,South,Books,Premium,Rep_13,Retail
2023-01-03,1582.8967277248673,North,Electronics,Premium,Rep_17,Online
2023-01-03,1231.1418993415637,South,Home & Garden,Standard,Rep_10,Online
2023-01-03,1007.2979176430974,South,Home & Garden,Premium,Rep_13,Online
2023-01-04,1555.952870545499,East,Home & Garden,Standard,Rep_14,Online
2023-01-04,2489.5245928727986,South,Electronics,Budget,Rep_05,Retail
2023-01-04,1244.7622964363993,West,Sports,Standard,Rep_13,Partner
2023-01-04,1131.6020876694538,West,Electronics,Budget,Rep_19,Retail
2023-01-04,889.1159260259994,North,Clothing,Premium,Rep_03,Retail
2023-01-04,1383.0692182626658,North,Books,Budget,Rep_03,Retail
2023-01-05,704.7240087451104,South,Clothing,Budget,Rep_03,Retail
2023-01-05,986.6136122431546,East,Home & Garden,Premium,Rep_04,Retail
2023-01-05,1644.3560204052576,South,Clothing,Standard,Rep_09,Online
2023-01-05,1644.3560204052576,West,Sports,Standard,Rep_05,Retail
2023-01-05,1644.3560204052576,South,Clothing,Standard,Rep_05,Online
2023-01-06,992.0387590925554,West,Electronics,Budget,Rep_13,Partner
2023-01-06,826.6989659104629,West,Clothing,Budget,Rep_03,Online
2023-01-06,1653.3979318209258,South,Sports,Standard,Rep_19,Partner
2023-01-06,1984.0775181851109,North,Electronics,Standard,Rep_13,Retail
2023-01-06,708.5991136375396,North,Home & Garden,Premium,Rep_05,Partner
2023-01-06,708.5991136375396,South,Sports,Premium,Rep_11,Online
2023-01-07,2115.7604452946293,West,Sports,Standard,Rep_07,Online
2023-01-07,2538.912534353555,East,Electronics,Standard,Rep_13,Retail
2023-01-07,1269.4562671767776,North,Electronics,Standard,Rep_02,Online
2023-01-07,1410.506963529753,North,Books,Standard,Rep_18,Partner
2023-01-07,2538.912534353555,East,Home & Garden,Standard,Rep_18,Partner
2023-01-07,1586.8203339709721,East,Home & Garden,Standard,Rep_11,Retail
2023-01-07,1813.5089531096824,North,Electronics,Premium,Rep_02,Partner
2023-01-07,2538.912534353555,North,Sports,Standard,Rep_11,Online
2023-01-07,2115.7604452946293,East,Electronics,Premium,Rep_03,Partner
2023-01-07,1057.8802226473147,South,Books,Standard,Rep_20,Online
2023-01-07,976.5048209052136,South,Clothing,Standard,Rep_06,Online
2023-01-08,2306.1908621238404,East,Clothing,Budget,Rep_16,Retail
2023-01-08,886.9964854322462,West,Sports,Budget,Rep_14,Retail
2023-01-08,1048.2685736926546,East,Electronics,Premium,Rep_03,Online
2023-01-08,886.9964854322462,North,Home & Garden,Standard,Rep_20,Online
2023-01-08,1153.0954310619202,North,Electronics,Standard,Rep_02,Retail
2023-01-08,2306.1908621238404,North,Electronics,Standard,Rep_14,Partner
2023-01-08,1153.0954310619202,North,Home & Garden,Budget,Rep_06,Partner
2023-01-09,1389.934649379506,North,Electronics,Budget,Rep_15,Online
2023-01-09,972.9542545656543,North,Clothing,Budget,Rep_18,Online
2023-01-09,1621.5904242760905,South,Sports,Premium,Rep_13,Online
2023-01-09,972.9542545656543,South,Books,Premium,Rep_18,Retail
2023-01-09,694.967324689753,North,Electronics,Standard,Rep_03,Partner
2023-01-09,748.4263496658879,West,Electronics,Standard,Rep_18,Partner
2023-01-09,810.7952121380453,East,Sports,Standard,Rep_07,Retail
2023-01-09,1216.1928182070678,East,Sports,Standard,Rep_09,Online
2023-01-09,1621.5904242760905,North,Electronics,Premium,Rep_13,Retail
2023-01-09,1389.934649379506,West,Clothing,Premium,Rep_19,Online
2023-01-10,1883.5706769363942,East,Clothing,Standard,Rep_03,Online
2023-01-10,1614.4891516597665,East,Electronics,Premium,Rep_01,Retail
2023-01-10,2260.284812323673,West,Home & Garden,Standard,Rep_20,Retail
2023-01-10,1412.6780077022956,South,Clothing,Standard,Rep_09,Online
2023-01-10,1255.7137846242629,South,Home & Garden,Standard,Rep_04,Online
